Country or Area,Year,Value,Value Footnotes
Antigua and Barbuda,1979,92240739.11,
Antigua and Barbuda,1980,110066664.7,
Antigua and Barbuda,1981,124462954.8,
Antigua and Barbuda,1982,137951855.3,
Antigua and Barbuda,1983,153270373.6,
Antigua and Barbuda,1984,173511108.1,
Antigua and Barbuda,1985,201862965.3,
Antigua and Barbuda,1986,245896292,
Antigua and Barbuda,1987,286474069,
Antigua and Barbuda,1988,338696290.3,
Antigua and Barbuda,1989,373403703,
Antigua and Barbuda,1990,391570363.5,
Antigua and Barbuda,1991,410388899.4,
Antigua and Barbuda,1992,423762955.5,
Antigua and Barbuda,1993,456537023.1,
Antigua and Barbuda,1994,500088880.1,
Antigua and Barbuda,1995,494185188.3,
Antigua and Barbuda,1996,541074082.3,
Antigua and Barbuda,1997,579851829.8,
Antigua and Barbuda,1998,620037014.2,
Antigua and Barbuda,1999,651851840.3,
Antigua and Barbuda,2000,787693391.4,
Antigua and Barbuda,2001,778311556.5,
Antigua and Barbuda,2002,806505874.3,
Antigua and Barbuda,2003,849234753.9,
Antigua and Barbuda,2004,905113766.5,
Antigua and Barbuda,2005,1001970945,
Antigua and Barbuda,2006,1135143590,
Antigua and Barbuda,2007,1289254324,
Antigua and Barbuda,2008,1347349844,
Antigua and Barbuda,2009,1206410364,
Antigua and Barbuda,2010,1135539048,
Antigua and Barbuda,2011,1124586886,
Antigua and Barbuda,2012,1176348888,
Argentina,1962,24450604878,
Argentina,1963,18272123664,
Argentina,1964,25605249382,
Argentina,1965,28344705968,
Argentina,1966,28630474726,
Argentina,1967,24256667555,
Argentina,1968,26436857248,
Argentina,1969,31256284545,
Argentina,1970,31584210365,
Argentina,1971,33293199095,
Argentina,1972,34733000536,
Argentina,1973,52544000117,
Argentina,1974,72436777342,
Argentina,1975,52438647922,
Argentina,1976,51169499891,
Argentina,1977,56781000101,
Argentina,1978,58082870156,
Argentina,1979,69252328953,
Argentina,1980,76961923742,
Argentina,1981,78676842366,
Argentina,1982,84307486837,
Argentina,1983,1.03979E+11,
Argentina,1984,79092001998,
Argentina,1985,88416668900,
Argentina,1986,1.10934E+11,
Argentina,1987,1.11106E+11,
Argentina,1988,1.26207E+11,
Argentina,1989,76636898036,
Argentina,1990,1.41352E+11,
Argentina,1991,1.8972E+11,
Argentina,1992,2.28779E+11,
Argentina,1993,2.36754E+11,
Argentina,1994,2.5744E+11,
Argentina,1995,2.58032E+11,
Argentina,1996,2.7215E+11,
Argentina,1997,2.92859E+11,
Argentina,1998,2.98948E+11,
Argentina,1999,2.83523E+11,
Argentina,2000,2.84204E+11,
Argentina,2001,2.68697E+11,
Argentina,2002,1.0204E+11,
Argentina,2003,1.29597E+11,
Argentina,2004,1.5313E+11,
Argentina,2005,1.83193E+11,
Argentina,2006,2.14066E+11,
Argentina,2007,2.60769E+11,
Argentina,2008,3.26583E+11,
Argentina,2009,3.07155E+11,
Argentina,2010,3.68736E+11,
Argentina,2011,4.46044E+11,
Argentina,2012,4.70533E+11,
Armenia,1990,2256838858,
Armenia,1991,2068526522,
Armenia,1992,1272577522,
Armenia,1993,1201313196,
Armenia,1994,1315158670,
Armenia,1995,1468317350,
Armenia,1996,1596968913,
Armenia,1997,1639492424,
Armenia,1998,1893726437,
Armenia,1999,1845482181,
Armenia,2000,1911563665,
Armenia,2001,2118467913,
Armenia,2002,2376335048,
Armenia,2003,2807061009,
Armenia,2004,3576615240,
Armenia,2005,4900436759,
Armenia,2006,6384457744,
Armenia,2007,9206277479,
Armenia,2008,11662017845,
Armenia,2009,8648015305,
Armenia,2010,9260285762,
Armenia,2011,10138077996,
Armenia,2012,9910387657,
Aruba,1994,1330167598,
Aruba,1995,1320670391,
Aruba,1996,1379888268,
Aruba,1997,1531843575,
Aruba,1998,1665363128,
Aruba,1999,1722798883,
Aruba,2000,1873452514,
Aruba,2001,1920262570,
Aruba,2002,1941094972,
Aruba,2003,2021301676,
Aruba,2004,2228279330,
Aruba,2005,2331005587,
Aruba,2006,2421474860,
Aruba,2007,2623726257,
Aruba,2008,2791960894,
Aruba,2009,2498932961,
Aruba,2010,2467703911,
Aruba,2011,2584463687,
Australia,1960,18581028111,
Australia,1961,19648336880,
Australia,1962,19873446075,
Australia,1963,21494008288,
Australia,1964,23755179751,
Australia,1965,25931235301,
Australia,1966,27247172136,
Australia,1967,30375181991,
Australia,1968,32653152649,
Australia,1969,36614402509,
Australia,1970,41272258932,
Australia,1971,45149512823,
Australia,1972,51949766355,
Australia,1973,63738629084,
Australia,1974,88851879145,
Australia,1975,97141881742,
Australia,1976,1.04928E+11,
Australia,1977,1.10182E+11,
Australia,1978,1.18305E+11,
Australia,1979,1.34711E+11,
Australia,1980,1.49832E+11,
Australia,1981,1.76872E+11,
Australia,1982,1.9392E+11,
Australia,1983,1.77102E+11,
Australia,1984,1.93579E+11,
Australia,1985,1.80604E+11,
Australia,1986,1.81979E+11,
Australia,1987,1.88932E+11,
Australia,1988,2.36144E+11,
Australia,1989,2.9973E+11,
Australia,1990,3.11412E+11,
Australia,1991,3.26154E+11,
Australia,1992,3.25588E+11,
Australia,1993,3.12315E+11,
Australia,1994,3.23413E+11,
Australia,1995,3.68595E+11,
Australia,1996,4.01901E+11,
Australia,1997,4.35891E+11,
Australia,1998,3.99746E+11,
Australia,1999,3.89475E+11,
Australia,2000,4.15774E+11,
Australia,2001,3.79358E+11,
Australia,2002,3.95013E+11,
Australia,2003,4.66474E+11,
Australia,2004,6.11492E+11,
Australia,2005,6.92354E+11,
Australia,2006,7.4496E+11,
Australia,2007,8.50517E+11,
Australia,2008,1.05226E+12,
Australia,2009,9.23499E+11,
Australia,2010,1.13826E+12,
Australia,2011,1.38415E+12,
Australia,2012,1.52061E+12,
Austria,1960,6592693841,
Austria,1961,7311749633,
Austria,1962,7756110210,
Austria,1963,8374175258,
Austria,1964,9169983886,
Austria,1965,9994070616,
Austria,1966,10887682273,
Austria,1967,11579431669,
Austria,1968,12440625313,
Austria,1969,13582798556,
Austria,1970,15215058932,
Austria,1971,17675002528,
Austria,1972,21832965362,
Austria,1973,29212217262,
Austria,1974,34827754652,
Austria,1975,39647626537,
Austria,1976,42518592468,
Austria,1977,51016162684,
Austria,1978,61414715247,
Austria,1979,73177642820,
Austria,1980,81215814720,
Austria,1981,70304401244,
Austria,1982,70542983786,
Austria,1983,71380023748,
Austria,1984,67286843408,
Austria,1985,68673874036,
Austria,1986,98018638125,
Austria,1987,1.22893E+11,
Austria,1988,1.31969E+11,
Austria,1989,1.31738E+11,
Austria,1990,1.64753E+11,
Austria,1991,1.72009E+11,
Austria,1992,1.93074E+11,
Austria,1993,1.88424E+11,
Austria,1994,2.01444E+11,
Austria,1995,2.38562E+11,
Austria,1996,2.34676E+11,
Austria,1997,2.07826E+11,
Austria,1998,2.1333E+11,
Austria,1999,2.12302E+11,
Austria,2000,1.92071E+11,
Austria,2001,1.91679E+11,
Austria,2002,2.07537E+11,
Austria,2003,2.53946E+11,
Austria,2004,2.9143E+11,
Austria,2005,3.04984E+11,
Austria,2006,3.24954E+11,
Austria,2007,3.75042E+11,
Austria,2008,4.14171E+11,
Austria,2009,3.83627E+11,
Austria,2010,3.76838E+11,
Austria,2011,4.17656E+11,
Austria,2012,3.99649E+11,
Azerbaijan,1990,8858006036,
Azerbaijan,1991,8792365811,
Azerbaijan,1992,4991350458,
Azerbaijan,1993,3973027397,
Azerbaijan,1994,3313739674,
Azerbaijan,1995,3052467522,
Azerbaijan,1996,3176749593,
Azerbaijan,1997,3962710163,
Azerbaijan,1998,4446396218,
Azerbaijan,1999,4581222442,
Azerbaijan,2000,5272617196,
Azerbaijan,2001,5707618247,
Azerbaijan,2002,6236024951,
Azerbaijan,2003,7275766111,
Azerbaijan,2004,8680511918,
Azerbaijan,2005,13245421881,
Azerbaijan,2006,20982270733,
Azerbaijan,2007,33049380918,
Azerbaijan,2008,48852482960,
Azerbaijan,2009,44291490421,
Azerbaijan,2010,52905998879,
Azerbaijan,2011,65952763949,
Azerbaijan,2012,68726938990,
Bahamas,1960,169802257.8,
Bahamas,1961,190096176.6,
Bahamas,1962,212252822.2,
Bahamas,1963,237742768.5,
Bahamas,1964,266664053.8,
Bahamas,1965,300392162.5,
Bahamas,1966,340000006.4,
Bahamas,1967,390196085.7,
Bahamas,1968,444901969.1,
Bahamas,1969,528137296.2,
Bahamas,1970,538423199.5,
Bahamas,1971,573400000,
Bahamas,1972,590899968,
Bahamas,1973,670899968,
Bahamas,1974,632400000,
Bahamas,1975,596200000,
Bahamas,1976,642099968,
Bahamas,1977,713000000,
Bahamas,1978,832400000,
Bahamas,1979,1139800064,
Bahamas,1980,1335299968,
Bahamas,1981,1426499968,
Bahamas,1982,1578300032,
Bahamas,1983,1732800000,
Bahamas,1984,2041100032,
Bahamas,1985,2320699904,
Bahamas,1986,2472499968,
Bahamas,1987,2713999872,
Bahamas,1988,2817900032,
Bahamas,1989,3062000000,
Bahamas,1990,3166000000,
Bahamas,1991,3111160000,
Bahamas,1992,3109000000,
Bahamas,1993,3092000000,
Bahamas,1994,3259000000,
Bahamas,1995,3429000000,
Bahamas,1996,3609000000,
Bahamas,1997,4961119000,
Bahamas,1998,5353524000,
Bahamas,1999,6019972000,
Bahamas,2000,6327552000,
Bahamas,2001,6516651000,
Bahamas,2002,6957996000,
Bahamas,2003,6949317000,
Bahamas,2004,7094413000,
Bahamas,2005,7706222000,
Bahamas,2006,7965588000,
Bahamas,2007,8318996000,
Bahamas,2008,8246650000,
Bahamas,2009,7820420000,
Bahamas,2010,7888087000,
Bahamas,2011,7872584000,
Bahamas,2012,8149004000,
Bahrain,1980,3072698346,
Bahrain,1981,3467819353,
Bahrain,1982,3645744806,
Bahrain,1983,3735106511,
Bahrain,1984,3905585155,
Bahrain,1985,3651861912,
Bahrain,1986,3052393636,
Bahrain,1987,3392021223,
Bahrain,1988,3702393659,
Bahrain,1989,3863564047,
Bahrain,1990,4229787379,
Bahrain,1991,4616223477,
Bahrain,1992,4751063992,
Bahrain,1993,5200266050,
Bahrain,1994,5567553552,
Bahrain,1995,5849468115,
Bahrain,1996,6101861656,
Bahrain,1997,6349202600,
Bahrain,1998,6183941092,
Bahrain,1999,6621186419,
Bahrain,2000,7970690894,
Bahrain,2001,7928934210,
Bahrain,2002,8491183201,
Bahrain,2003,9747599583,
Bahrain,2004,11235671061,
Bahrain,2005,13460198290,
Bahrain,2006,15854942951,
Bahrain,2007,18473097689,
Bahrain,2008,21902892584,
Bahrain,2009,19318822541,
Bahrain,2010,25713571421,
Bahrain,2011,29044457920,
Bangladesh,1960,4274893910,
Bangladesh,1961,4817580182,
Bangladesh,1962,5081413345,
Bangladesh,1963,5319458349,
Bangladesh,1964,5386054613,
Bangladesh,1965,5906636554,
Bangladesh,1966,6439687606,
Bangladesh,1967,7253575403,
Bangladesh,1968,7483685483,
Bangladesh,1969,8471006092,
Bangladesh,1970,8992721807,
Bangladesh,1971,8751842837,
Bangladesh,1972,6288245866,
Bangladesh,1973,8067027104,
Bangladesh,1974,12459282561,
Bangladesh,1975,19395903916,
Bangladesh,1976,10083163547,
Bangladesh,1977,9632469659,
Bangladesh,1978,13299358553,
Bangladesh,1979,15585961410,
Bangladesh,1980,18114645161,
Bangladesh,1981,19762945710,
Bangladesh,1982,18087000000,
Bangladesh,1983,17155798869,
Bangladesh,1984,19670160944,
Bangladesh,1985,21613230769,
Bangladesh,1986,21160234384,
Bangladesh,1987,23781404932,
Bangladesh,1988,25638749373,
Bangladesh,1989,26825240347,
Bangladesh,1990,30128776344,
Bangladesh,1991,30957444767,
Bangladesh,1992,31708863730,
Bangladesh,1993,33166530060,
Bangladesh,1994,33768661427,
Bangladesh,1995,37939752960,
Bangladesh,1996,40666015641,
Bangladesh,1997,42318798538,
Bangladesh,1998,44091754148,
Bangladesh,1999,45694072379,
Bangladesh,2000,47124925462,
Bangladesh,2001,46987842847,
Bangladesh,2002,47571130071,
Bangladesh,2003,51913661485,
Bangladesh,2004,56560744012,
Bangladesh,2005,60277560976,
Bangladesh,2006,61901116736,
Bangladesh,2007,68415421373,
Bangladesh,2008,79554350678,
Bangladesh,2009,89359767442,
Bangladesh,2010,1.00357E+11,
Bangladesh,2011,1.11906E+11,
Bangladesh,2012,1.1561E+11,
Barbados,1960,87383113.71,
Barbados,1961,93216432.38,
Barbados,1962,96949756.33,
Barbados,1963,109083059.2,
Barbados,1964,108383060.9,
Barbados,1965,114683045.1,
Barbados,1966,123608022.7,
Barbados,1967,137103729.9,
Barbados,1968,137300000,
Barbados,1969,154400000,
Barbados,1970,181500000,
Barbados,1971,204010328.9,
Barbados,1972,233383640,
Barbados,1973,284759098.1,
Barbados,1974,340492903.7,
Barbados,1975,402158285.8,
Barbados,1976,435871861.9,
Barbados,1977,495116619.3,
Barbados,1978,552876225.3,
Barbados,1979,670312672.3,
Barbados,1980,860438453.3,
Barbados,1981,946949724.9,
Barbados,1982,989409791.7,
Barbados,1983,1050464828,
Barbados,1984,1144931026,
Barbados,1985,1198180246,
Barbados,1986,1315567053,
Barbados,1987,1448665028,
Barbados,1988,1540893883,
Barbados,1989,1703922715,
Barbados,1990,1710435931,
Barbados,1991,1687167462,
Barbados,1992,1588499968,
Barbados,1993,1641226964,
Barbados,1994,1726942730,
Barbados,1995,1859145793,
Barbados,1996,1982896516,
Barbados,1997,2192363133,
Barbados,1998,2364540277,
Barbados,1999,2468403493,
Barbados,2000,2558850048,
Barbados,2001,2554187134,
Barbados,2002,2476105824,
Barbados,2003,2694879718,
Barbados,2004,2824000000,
Barbados,2005,3005000000,
Barbados,2006,3190900000,
Barbados,2007,3409200000,
Barbados,2008,3670215313,
Barbados,2009,3595210913,
Barbados,2010,4109500000,
Barbados,2011,3685000000,
Belarus,1990,17369598958,
Belarus,1991,17813389815,
Belarus,1992,17022180272,
Belarus,1993,16280372553,
Belarus,1994,14931599418,
Belarus,1995,13972637603,
Belarus,1996,14756861538,
Belarus,1997,14128412417,
Belarus,1998,15222014828,
Belarus,1999,12138485329,
Belarus,2000,12736856485,
Belarus,2001,12354820144,
Belarus,2002,14594925393,
Belarus,2003,17825436035,
Belarus,2004,23141587718,
Belarus,2005,30210091837,
Belarus,2006,36961918859,
Belarus,2007,45275711996,
Belarus,2008,60763483146,
Belarus,2009,49271267252,
Belarus,2010,55220932614,
Belarus,2011,64271575245,
Belarus,2012,63267029437,
Belgium,1960,11658722591,
Belgium,1961,12400145222,
Belgium,1962,13264015675,
Belgium,1963,14260017387,
Belgium,1964,15960106681,
Belgium,1965,17371457608,
Belgium,1966,18651883472,
Belgium,1967,19992040788,
Belgium,1968,21376353113,
Belgium,1969,23710735895,
Belgium,1970,26381124884,
Belgium,1971,29458668479,
Belgium,1972,36756500047,
Belgium,1973,47162657848,
Belgium,1974,55351036497,
Belgium,1975,64878745421,
Belgium,1976,70248275973,
Belgium,1977,81831567541,
Belgium,1978,1.00014E+11,
Belgium,1979,1.149E+11,
Belgium,1980,1.25286E+11,
Belgium,1981,1.03455E+11,
Belgium,1982,90974923323,
Belgium,1983,86123021068,
Belgium,1984,82334988808,
Belgium,1985,85218196227,
Belgium,1986,1.18558E+11,
Belgium,1987,1.47576E+11,
Belgium,1988,1.60324E+11,
Belgium,1989,1.62222E+11,
Belgium,1990,2.02832E+11,
Belgium,1991,2.07949E+11,
Belgium,1992,2.31924E+11,
Belgium,1993,2.21986E+11,
Belgium,1994,2.41903E+11,
Belgium,1995,2.8452E+11,
Belgium,1996,2.75797E+11,
Belgium,1997,2.49767E+11,
Belgium,1998,2.55599E+11,
Belgium,1999,2.54504E+11,
Belgium,2000,2.32673E+11,
Belgium,2001,2.32486E+11,
Belgium,2002,2.52795E+11,
Belgium,2003,3.1169E+11,
Belgium,2004,3.61683E+11,
Belgium,2005,3.7735E+11,
Belgium,2006,3.99966E+11,
Belgium,2007,4.59619E+11,
Belgium,2008,5.07379E+11,
Belgium,2009,4.73352E+11,
Belgium,2010,4.68512E+11,
Belgium,2011,5.13863E+11,
Belgium,2012,4.83709E+11,
Belize,1960,28072504.98,
Belize,1961,29965035.39,
Belize,1962,31857563,
Belize,1963,33750090.61,
Belize,1964,36194610.8,
Belize,1965,40069931.54,
Belize,1966,44405596.03,
Belize,1967,47379308.79,
Belize,1968,44910180.79,
Belize,1969,47305390.44,
Belize,1970,53233534.3,
Belize,1971,59207317.59,
Belize,1972,66062499.02,
Belize,1973,78343558.51,
Belize,1974,103216372,
Belize,1975,118066302.1,
Belize,1976,96905828.77,
Belize,1977,117650000,
Belize,1978,136300000,
Belize,1979,151800000,
Belize,1980,194750000,
Belize,1981,192900000,
Belize,1982,179250000,
Belize,1983,189000000,
Belize,1984,210900000,
Belize,1985,209150000,
Belize,1986,227850000,
Belize,1987,276550016,
Belize,1988,314900000,
Belize,1989,363150016,
Belize,1990,413049984,
Belize,1991,444720726.5,
Belize,1992,518143678.5,
Belize,1993,559759653.3,
Belize,1994,580760211.3,
Belize,1995,620031771.9,
Belize,1996,641271333.4,
Belize,1997,654198121.1,
Belize,1998,688872472.7,
Belize,1999,732607993.8,
Belize,2000,831750000,
Belize,2001,871840755.4,
Belize,2002,932676403.2,
Belize,2003,988199088.3,
Belize,2004,1056303706,
Belize,2005,1114874608,
Belize,2006,1213104430,
Belize,2007,1276751656,
Belize,2008,1363500000,
Belize,2009,1349000000,
Belize,2010,1398500000,
Belize,2011,1447500000,
Benin,1960,226195578.3,
Benin,1961,235668220.8,
Benin,1962,236434954.3,
Benin,1963,253927697.4,
Benin,1964,269819005.9,
Benin,1965,289908680.3,
Benin,1966,302925235.6,
Benin,1967,306221953.3,
Benin,1968,326323105.8,
Benin,1969,330748244.1,
Benin,1970,333627713.3,
Benin,1971,335073028,
Benin,1972,410331856.3,
Benin,1973,504376073.9,
Benin,1974,554654861.5,
Benin,1975,676870139.2,
Benin,1976,698408261,
Benin,1977,750049780.1,
Benin,1978,928843468.5,
Benin,1979,1186231019,
Benin,1980,1405251844,
Benin,1981,1291120191,
Benin,1982,1267778671,
Benin,1983,1095348199,
Benin,1984,1051134009,
Benin,1985,1045712790,
Benin,1986,1336102027,
Benin,1987,1562412226,
Benin,1988,1620246085,
Benin,1989,1502294414,
Benin,1990,1959965331,
Benin,1991,1986437798,
Benin,1992,1695315186,
Benin,1993,2274558079,
Benin,1994,1598075945,
Benin,1995,2169627138,
Benin,1996,2361116448,
Benin,1997,2268301645,
Benin,1998,2455092688,
Benin,1999,2488892429,
Benin,2000,2359122303,
Benin,2001,2499269391,
Benin,2002,2807657386,
Benin,2003,3557229702,
Benin,2004,4050869968,
Benin,2005,4358015993,
Benin,2006,4705087452,
Benin,2007,5506275948,
Benin,2008,6633561835,
Benin,2009,6585134688,
Benin,2010,6558416322,
Benin,2011,7294900431,
Benin,2012,7557286829,
Bermuda,1960,84466654.08,
Bermuda,1961,89249986.7,
Bermuda,1962,94149985.97,
Bermuda,1963,96366652.31,
Bermuda,1964,107566650.6,
Bermuda,1965,114339049,
Bermuda,1966,134173373.8,
Bermuda,1967,155102984.6,
Bermuda,1968,150000000,
Bermuda,1969,164900000,
Bermuda,1970,186300000,
Bermuda,1971,211100000,
Bermuda,1972,235400000,
Bermuda,1973,269500000,
Bermuda,1974,312600000,
Bermuda,1975,345000000,
Bermuda,1976,386300000,
Bermuda,1977,447000000,
Bermuda,1978,475800000,
Bermuda,1979,517200000,
Bermuda,1980,613299968,
Bermuda,1981,739100032,
Bermuda,1982,785500032,
Bermuda,1983,889400000,
Bermuda,1984,985699968,
Bermuda,1985,1039500032,
Bermuda,1986,1173500032,
Bermuda,1987,1296499968,
Bermuda,1988,1415100032,
Bermuda,1989,1501500032,
Bermuda,1990,1592400000,
Bermuda,1991,1634899968,
Bermuda,1992,1679900032,
Bermuda,1993,1820359936,
Bermuda,1994,1867160064,
Bermuda,1995,2030749952,
Bermuda,1996,2695390000,
Bermuda,1997,2932827000,
Bermuda,1998,3130748000,
Bermuda,1999,3324433000,
Bermuda,2000,3480219000,
Bermuda,2001,3680483000,
Bermuda,2002,3937228000,
Bermuda,2003,4186525000,
Bermuda,2004,4484703000,
Bermuda,2005,4868136000,
Bermuda,2006,5414299000,
Bermuda,2007,5895048000,
Bermuda,2008,6109928000,
Bermuda,2009,5806378000,
Bermuda,2010,5757433000,
Bermuda,2011,5557128000,
Bhutan,1980,135653289.9,
Bhutan,1981,146391643.1,
Bhutan,1982,148934332,
Bhutan,1983,165585938.1,
Bhutan,1984,169264987.2,
Bhutan,1985,172217500.8,
Bhutan,1986,201375722.8,
Bhutan,1987,253182456.8,
Bhutan,1988,283855835.9,
Bhutan,1989,275949887.9,
Bhutan,1990,299787274.8,
Bhutan,1991,250045841,
Bhutan,1992,250794358.5,
Bhutan,1993,235239569.3,
Bhutan,1994,270801565.2,
Bhutan,1995,303053461.9,
Bhutan,1996,316420860.2,
Bhutan,1997,365964500.2,
Bhutan,1998,376955086.1,
Bhutan,1999,419035810.8,
Bhutan,2000,439158233.5,
Bhutan,2001,476360697.1,
Bhutan,2002,537050133.3,
Bhutan,2003,622026106.8,
Bhutan,2004,702682018.3,
Bhutan,2005,818869145.8,
Bhutan,2006,897672085.8,
Bhutan,2007,1196090841,
Bhutan,2008,1257480561,
Bhutan,2009,1264686357,
Bhutan,2010,1585319109,
Bhutan,2011,1833738376,
Bhutan,2012,1779561112,
Bolivia,1960,563110052,
Bolivia,1961,612518907.2,
Bolivia,1962,669722540.4,
Bolivia,1963,721142960.4,
Bolivia,1964,812543073.8,
Bolivia,1965,908874535.9,
Bolivia,1966,994044552.9,
Bolivia,1967,1084059818,
Bolivia,1968,908874535.9,
Bolivia,1969,964615702.6,
Bolivia,1970,1017171717,
Bolivia,1971,1095454545,
Bolivia,1972,1257615645,
Bolivia,1973,1263018491,
Bolivia,1974,2100249875,
Bolivia,1975,2404697651,
Bolivia,1976,2732083958,
Bolivia,1977,3227436282,
Bolivia,1978,3758220890,
Bolivia,1979,4421343606,
Bolivia,1980,4537487843,
Bolivia,1981,5891606678,
Bolivia,1982,5594118401,
Bolivia,1983,5422656262,
Bolivia,1984,6169481549,
Bolivia,1985,5377277408,
Bolivia,1986,3958338768,
Bolivia,1987,4323623593,
Bolivia,1988,4597615614,
Bolivia,1989,4715978706,
Bolivia,1990,4867582765,
Bolivia,1991,5343259489,
Bolivia,1992,5643864514,
Bolivia,1993,5734703516,
Bolivia,1994,5981218963,
Bolivia,1995,6715164450,
Bolivia,1996,7396952018,
